Source,DBA,SoundCategory
Shipyard arc welding shop,87,Industrial
Shipyard boilermaking shop,94,Industrial
Shipyard gas welding and cutting shop,86,Industrial
Shipyard upper deck of ship,80,Industrial
Shovel,86,Logging
Shovel logging,88,Logging
Skilsaw,97,Construction
Stacker,84,Logging
"Stamping press, large",110,Industrial
Steam cleaning,86,Industrial
Steam let down (petroleum refining),130,Industrial
Steam roller,84,Construction
Steel melting shop furnace,78,Industrial
Steel stud installer,96,Construction
Stenographic room,72,Office
"Stock car racing, drivers",114,Recreation
"Stormwater pump, diesel",114,Industrial
"Stormwater pump, electric",90,Industrial
Stud welder,101,Construction
"Table saw, loaded",92,Industrial
Tabulating room,80,Industrial
Tabulating room,80,Industrial
Tamper,97-98,Construction
"Tamper, mechanical",90,Construction
Tar kettle,89,Construction
Telephone headset - call center operator,77,Office
Textile loom,105,Industrial
Textile loom,106,Industrial
Textile weaving plant,95,Industrial
Textile weaving plant,95,Industrial
Tilesetter,92,Construction
"Tilesetters -  break, rest, lunch, cleanup",85,Construction
"Tilesetters -  bricking, blocking, tiling",93,Construction
Tilesetters -  grinding,100,Construction
Tilesetters -  grouting and mortaring,87,Construction
Tilesetters -  manual material handling,91,Construction
"Tilesetters - pointing, cleaning, caulking",84,Construction
"Tire removing machine, removing tire bead",100,Transportation
"Torch, oxygen",121,Industrial
"Torches, oxygen",120,Mining
Tractor,96,Farm
Tractor,90-108,Logging
"Tractor, farm type",100,Farm
"Tractor, farm type",98,Farm
"Tractor, farm type",78-103,Farm
"Tractor, full throttle, no cab, dairy farm, Ostego, County, NY, dairy farm",82-103,Farm
"Tractor, full throttle, with cab, Ostego, County, NY, dairy farm",76-87,Farm
Tractors,93-103,Farm
Tractors,91,Farm
"Tractors, cultivating",76-96,Farm
"Tractors, farm type",97-114 ,Farm
"Tractors, full load",92-102,Farm
"Tractors, haying",74-91,Farm
"Tractors, ploughing",86-102,Farm
"Transformer, large ",53,Industrial
"Transformer, large ",50,Industrial
"Transformer, large ",53,Industrial
Tree felling,98,Logging
Truck,81,Construction
"Truck tire, large, air release at full pressure",102,Transportation
"Truck tire, large, air release at half pressure",92,Transportation
"Truck tire, large, air release at low pressure",72,Transportation
"Truck, dump",84,Construction
"Truck, dump",88,Construction
"Truck, new condition on tarred roads in South Africa",85,Industrial
"Turbine, gas (offshore platforms)",100-112,Industrial
Unbelling log chokers,92,Logging
Vacuum pump,92,Farm
Valves (offshore platforms),104-120,Industrial
Weed trimmer,89,Farm
Weed trimmer,93,Power Tools
Welding,77,Industrial
Welding arc,84-92,Welding
"Welding arc, CO2",91-95,Welding
"Welding, Cutting Equipment",95,Construction
"Welding, cutting equipment",91,Construction
"Welding, inert gas - metal arc",95-102,Welding
"Welding, plasma cutting",98-110,Welding
"Welding, slag chipping",92-105,Welding
"Welding, tungsten inert gas",65-74,Welding
Wellhead room (offshore platform),90-95,Industrial
"Wet saw (7"" circular saw) for cutting slate",105,Construction
Wheeled skidder,90-99,Logging
"Whistle, for use by sports officials",110-122,Recreation
Wood planer,107,Construction
"Wrench, impact",102,Construction
"Wrench, impact, fitting lug nuts",100,Transportation
"Wrench, impact, removing lug nuts",93,Transportation
Yarder,86-92,Logging
Yarder,85,Logging
"Zamboni, turf",88,Industrial
